life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,hdi_score,hdi_tier
46.1,8.39,9.42,2253.0,0.4639,Low
57.6,11.05,13.94,7046.0,0.6575,Medium
69.7,13.34,12.07,7820.0,0.7372,High
62.4,9.16,11.97,4729.0,0.6227,Medium
77.3,10.7,13.93,26105.0,0.8143,Very High
73.0,9.42,15.09,11966.0,0.7428,High
59.5,7.26,12.8,6714.0,0.6211,Medium
39.4,5.44,4.66,1100.0,0.3291,Low
57.8,9.27,13.66,20336.0,0.6949,Medium
77.6,10.96,16.05,50405.0,0.8667,Very High
41.6,6.14,4.54,1142.0,0.3444,Low
60.4,9.9,12.71,4736.0,0.6211,Medium
70.9,13.11,17.67,23035.0,0.8426,Very High
51.8,9.37,9.69,2879.0,0.5539,Medium
75.0,13.37,14.47,24583.0,0.8509,Very High
51.1,8.57,8.21,2279.0,0.4805,Low
41.6,8.28,7.29,1207.0,0.3883,Low
60.4,11.53,9.23,5004.0,0.614,Medium
71.0,11.41,11.17,8138.0,0.7126,High
55.3,8.08,9.6,7173.0,0.5574,Medium
77.4,11.86,14.1,19747.0,0.825,Very High
51.4,7.98,5.06,756.0,0.3703,Low
68.9,10.06,14.28,14514.0,0.7286,High
53.5,9.86,7.8,3096.0,0.5461,Low
66.3,10.49,11.17,8547.0,0.6777,Medium
64.4,11.18,18.0,8289.0,0.7495,High
32.4,2.16,7.54,305.0,0.2005,Low
74.9,9.47,14.01,12988.0,0.7384,High
56.4,7.57,11.12,2508.0,0.524,Low
77.4,15.0,18.0,66397.0,0.9801,Very High
45.2,5.61,7.87,804.0,0.3531,Low
73.3,15.0,16.1,32119.0,0.8957,Very High
43.0,4.59,6.07,1333.0,0.3577,Low
36.3,1.31,5.75,258.0,0.1949,Low
66.2,11.84,16.04,14493.0,0.7583,High
37.5,4.24,6.67,367.0,0.2497,Low
37.5,4.13,5.09,531.0,0.2721,Low
79.1,13.74,18.0,49000.0,0.9473,Very High
58.5,10.35,9.4,4074.0,0.5879,Medium
69.2,10.71,16.37,8614.0,0.7524,High
60.9,10.03,12.05,6742.0,0.6403,Medium
64.0,9.45,11.05,14532.0,0.7032,High
54.1,9.98,13.34,2802.0,0.5728,Medium
28.7,1.03,3.19,174.0,0.1313,Low
45.6,4.16,6.52,842.0,0.3339,Low
46.0,7.52,6.49,1184.0,0.4004,Low
83.9,15.0,14.28,37184.0,0.9343,Very High
72.5,13.14,13.96,67272.0,0.8702,Very High
32.2,3.11,4.23,550.0,0.2256,Low
51.0,7.43,8.66,4274.0,0.4997,Low
79.1,13.7,13.77,68275.0,0.9051,Very High
64.2,8.6,14.0,5774.0,0.6466,Medium
54.9,10.09,11.98,13020.0,0.641,Medium
64.7,12.14,15.16,13750.0,0.7484,High
69.5,10.23,11.17,13125.0,0.7097,High
50.3,9.32,9.02,2544.0,0.5103,Low
37.9,2.97,5.52,253.0,0.2031,Low
79.1,11.06,15.44,10065.0,0.775,High
70.7,13.55,13.48,19931.0,0.7961,High
41.9,4.02,5.7,391.0,0.2944,Low
85.0,13.71,17.89,58555.0,0.977,Very High
24.7,0.76,0.58,218.0,0.0621,Low
24.4,3.25,0.0,147.0,0.0796,Low
37.9,3.76,2.84,656.0,0.2505,Low
52.6,8.31,7.04,1876.0,0.4758,Low
58.6,8.59,10.77,5214.0,0.6009,Medium
51.5,9.35,12.12,3087.0,0.5479,Low
64.9,9.14,12.17,3608.0,0.6232,Medium
47.3,7.87,6.38,1284.0,0.4292,Low
82.5,14.76,18.0,20035.0,0.9193,Very High
46.6,4.48,6.93,1041.0,0.3689,Low
58.1,7.22,9.75,4883.0,0.5611,Medium
34.5,5.57,3.28,368.0,0.2245,Low
53.5,10.19,9.4,2837.0,0.5263,Low
76.2,14.05,16.47,16226.0,0.8571,Very High
